-34,0
-34,-1
-2,0
-2,-1
-2,-2
-2,-3
-2,-4
-3,0
-3,-1
-3,-2
-1,-1
20,0
22,0
20,-1
20,-2
22,-1
20,-3
20,-4
22,-2
20,-5
20,-6
20,-7
22,-3
20,-8
22,-4
20,-9
22,-5
20,-10
22,-6
22,-7
20,-11
22,-8
21,0
21,-1
21,-2
21,-3
21,-4
21,-5
21,-6
21,-7
21,-8
31,0
31,-1
30,-1
29,-1
28,-1
27,-1
26,-1
25,-1
24,-1
23,-1
-2,-5
-2,-6
-2,-7
-2,-8
-2,-9
-2,-10
-2,-11
-2,-12
-2,-13
-2,-14
-2,-15
-2,-16
-2,-17
7,0
7,-1
7,-2
7,-3
7,-4
7,-5
7,-6
7,-7
7,-8
11,0
20,-12
111,0
111,-1
111,-2
111,-3
81,0
81,-1
81,-2
81,-3
81,-4
81,-5
81,-6
81,-7
81,-8
81,-9
81,-10
